Text ,Slang,Abbreviations,Text meaning
Bạn chưa sinh con đúng ko,,,Bạn chưa sinh con đúng không
Dạ e k định lấy chồng luôn ạ,,,Dạ e không định lấy chồng luôn ạ
PN h sướng hơn r chứ các mẹ thời trc khổ là thật Trừ nhỏ nhà giàu số còn lại khổ bm nho giáo sanh nhiều sanh con trai công dung ngôn hạnh 3 tòng 4 đức Ai tư duy pt thì còn tốn tgian học hành làm lụng,bm,,Phụ nữ giờ sướng hơn rồi chứ các mẹ thời trước khổ là thật Trừ nhỏ nhà giàu số còn lại khổ lắm nho giáo sanh nhiều sanh con trai công dung ngôn hạnh 3 tòng 4 đức Ai tư duy phát triển thì còn tốn thời gian học hành làm lụng
Đó là góc nhìn của 1 đứa con hiểu chuyện tới 1 độ tuổi b sẽ thương bố mẹ hơn tự thấy nếu k dành thgian và đầu tư cho mình ăn học bố mẹ sẽ làm dc nhiều thứ hơn học nhiều hơn đi nhiều hơn pt hơn thư thả hơn. Không phải bi kịch hoá mà là sự trải nghiệm đủ và lòng biết ơn,,,Đó là góc nhìn của 1 đứa con hiểu chuyện tới 1 độ tuổi bạn sẽ thương bố mẹ hơn tự thấy nếu không dành thời gian và đầu tư cho mình ăn học bố mẹ sẽ làm được nhiều thứ hơn học nhiều hơn đi nhiều hơn phát triển hơn thư thả hơn. Không phải bi kịch hoá mà là sự trải nghiệm đủ và lòng biết ơn
Còn phương tây thì hay bi kịch hóa bản thân bạn ơi,,,Còn phương tây thì hay bi kịch hóa bản thân bạn ơi
bị gì thế,,,bị gì thế
Bi kịch hoá Bộ m nghĩ con người muốn khổ lắm à M nhìn lại xuyên suốt lịch sử của VN đi xem thực tế nó ntn Đã ngoo còn ko tự học hỏi,,VN,Bi kịch hoá Bộ mày nghĩ con người muốn khổ lắm à Mày nhìn lại xuyên suốt lịch sử của việt nam đi xem thực tế nó như thế nào Đã ngoo còn không tự học hỏi
Do đặc thù Nho giáo Phụ hệ Đàn ông là chủ gia đình quốc gia Nên hình ảnh người mẹ hay được bi kịch lên ca ngợi hy sinh chịu đựng như 1 cách thao túng tâm lý cho phụ nữ phục tùng cam chịu,,,Do đặc thù Nho giáo Phụ hệ Đàn ông là chủ gia đình quốc gia Nên hình ảnh người mẹ hay được bi kịch lên ca ngợi hy sinh chịu đựng như 1 cách thao túng tâm lý cho phụ nữ phục tùng cam chịu
Bạn đặt nhầm câu hỏi rồi câu hỏi phải là làm thế nào để hình ảnh người mẹ ở VN không thể bi kịch hóa nữa,,VN,Bạn đặt nhầm câu hỏi rồi câu hỏi phải là làm thế nào để hình ảnh người mẹ ở việt nam không thể bi kịch hóa nữa
Các cháu mới lớn được tiếp cận internet sớm nhưng toàn xem cđg ấy hiểu thế nào đc mà đặt ra những câu hỏi thế này vậy,cđg,,Các cháu mới lớn được tiếp cận internet sớm nhưng toàn xem cái gì ấy hiểu thế nào được mà đặt ra những câu hỏi thế này vậy
từ xa xưa lý thuyết Nho giáo và đạo Khổng Tử trọng nam khinh nữ đã được Việt Nam tiếp nhận từ Trung Quốc một cách mạnh mẽ người phụ nữ bị đối xử tệ hơn và cực khổ hơn họ luôn phải hướng về gia đình và chăm chút cho gia đình bởi vì cái thuyết phụ nữ phải biết lo toan cho gđ vẫn tồn tại ở các bà mẹ chồng kéo dài từ đời này tới đời khác và tới tận bây giờ Vậy nên nó đéo phải bi kịch hoá nó là bi kịch thật những bi kịch ấy cũng được phản ánh rõ nét trong văn học như chiếc thuyền ngoài xa,,,từ xa xưa lý thuyết Nho giáo và đạo Khổng Tử trọng nam khinh nữ đã được Việt Nam tiếp nhận từ Trung Quốc một cách mạnh mẽ người phụ nữ bị đối xử tệ hơn và cực khổ hơn họ luôn phải hướng về gia đình và chăm chút cho gia đình bởi vì cái thuyết phụ nữ phải biết lo toan cho gia đình vẫn tồn tại ở các bà mẹ chồng kéo dài từ đời này tới đời khác và tới tận bây giờ Vậy nên nó đéo phải bi kịch hoá nó là bi kịch thật những bi kịch ấy cũng được phản ánh rõ nét trong văn học như chiếc thuyền ngoài xa
chúng m ơi mẹ t gửi đồ cho mang đi HN 1 túi to chà bá rồi nma còn xót 1 túi thịt xay mẹ quên bỏ thế là mẹ t ovtk mẹ thương bọn t không có đồ ăn trong khi mới mang 1 túi để chật tủ lạnh lên xong con thì ăn kh hết mẹ ở nhà suy nghí suy nghí lo lắng các thứ lunn,,HN,chúng mày ơi mẹ tao gửi đồ cho mang đi hà nội 1 túi to chà bá rồi nhưng mà còn xót 1 túi thịt xay mẹ quên bỏ thế là mẹ tao ovtk mẹ thương bọn tao không có đồ ăn trong khi mới mang 1 túi để chật tủ lạnh lên xong con thì ăn không hết mẹ ở nhà suy nghí suy nghí lo lắng các thứ lunn
Ừ chắc do bạn chưa làm mẹ với bạn không được mẹ thương nên mới có cái cảm giác đấy ý bi kịch hoá cl gì bi kịch thật đấy,cl,,Ừ chắc do bạn chưa làm mẹ với bạn không được mẹ thương nên mới có cái cảm giác đấy ý bi kịch hoá cái gì bi kịch thật đấy
Khổ thật chứ bi kịch hóa gì,,,Khổ thật chứ bi kịch hóa gì
học dốt hay j mà ko biết thời phong kiến thời phong kiến thì gần như cái Châu Á trải qua,,,học dốt hay gì mà không biết thời phong kiến thời phong kiến thì gần như cái Châu Á trải qua
first thread thì để dành up cái gì có nghĩa hơn được không vậy,,,first thread thì để dành up cái gì có nghĩa hơn được không vậy
không chỉ riêng hình ảnh người mẹ bị bi kịch hoá mà hình ảnh người phụ nữ ở VN cũng bị bi kịch hoá luôn người VN nói riêng và Châu Á nói chung thế hệ trước đều bị ảnh hưởng bởi tư tưởng trọng nam khinh nữ bởi vậy nên pn luôn bị chịu thiệt bây giờ cũng đỡ r nhưng tư tưởng đó nó ngấm sâu vào r nên nó vẫn còn tồn tại ở một số khía cạnh,,VN,không chỉ riêng hình ảnh người mẹ bị bi kịch hoá mà hình ảnh người phụ nữ ở việt nam cũng bị bi kịch hoá luôn người việt nam nói riêng và Châu Á nói chung thế hệ trước đều bị ảnh hưởng bởi tư tưởng trọng nam khinh nữ bởi vậy nên phụ nữ luôn bị chịu thiệt bây giờ cũng đỡ rồi nhưng tư tưởng đó nó ngấm sâu vào rồi nên nó vẫn còn tồn tại ở một số khía cạnh
Sao tao cảm thấy má m chưa dạy m đủ tốt chưa ngồi giảng cho m nghe bài học cuộc sống hay chắc chưa than thở với mày lần nào về cái đau lúc rặn lòi l ải ra mày ha,lòi l,,Sao tao cảm thấy má mày chưa dạy mày đủ tốt chưa ngồi giảng cho mày nghe bài học cuộc sống hay chắc chưa than thở với mày lần nào về cái đau lúc rặn đẻ ải ra mày ha
Ditme một năm như l với tớ vậy,"ditme, như l",,ôi trời một năm tệ với tớ vậy
Tớ bị đuổi việc cmnr tớ năn nỉ quay lại với người tớ yêu đéo được một khoản nợ đéo hiểu từ đâu ra rơi vào đầu tớ chuyện gia đình tớ căng như dây đàn tớ làm cái gì cũng như l tớ tuyệt vọng vãi cả nhổn,"cmnr, l, vãi cả nhổn, đéo",cmnr,Tớ bị đuổi việc rồi tớ năn nỉ quay lại với người tớ yêu không được một khoản nợ không hiểu từ đâu ra rơi vào đầu tớ chuyện gia đình tớ căng như dây đàn tớ làm cái gì cũng như chán tớ tuyệt vọng lắm
Nmà tớ vẫn mừng vì tớ còn ở đây để uống nhân trần và coi anh Độ Mixi live stream,,,Nhưng mà tớ vẫn mừng vì tớ còn ở đây để uống nhân trần và coi anh Độ Mixi live stream
Hehe em cảm ơn ạa,,,Hehe em cảm ơn ạa
Một năm như l b nhjr,như l,,Một năm chán bạn nhjr
Công nhận ạ năm lồ,lồ,,Công nhận ạ năm chán
Đi cf ở HN kể chuyện không,,HN,Đi cà phê ở hà nội kể chuyện không
Chào cậu,,,Chào cậu
Chin chào ạ,chin,,xin chào ạ
mỗi người một hoàn cảnh mỗi người một câu chuyện mà Nếu mình trong hoàn cảnh của b ko biết mình đi đến đâu nữa cũng ko biết phải nói gì nma vẫn thấy b thực sự là tích cực và cực nhiều năng lượng chỉ là gặp chút ko may mắn thoi nên là cố gắng nhé Mình mất thứ này thì sớm thoii sẽ có thứ khác tốt hơn đến với mình,,,mỗi người một hoàn cảnh mỗi người một câu chuyện mà Nếu mình trong hoàn cảnh của bạn không biết mình đi đến đâu nữa cũng không biết phải nói gì nhưng mà vẫn thấy bạn thực sự là tích cực và cực nhiều năng lượng chỉ là gặp chút không may mắn thoi nên là cố gắng nhé Mình mất thứ này thì sớm thoii sẽ có thứ khác tốt hơn đến với mình
Dạaaa mình siêuuuuu cảm ơn ạ mong bạn luôn tràn đầy năng lượng gặp nhiều may mắn nhaaaaaa,,,Dạaaa mình siêuuuuu cảm ơn ạ mong bạn luôn tràn đầy năng lượng gặp nhiều may mắn nhaaaaaa
Mặc dù là vẫn còn nhiều vde cần giải quyếtt nma mong bạn luônn tích cực với giữ sức khoẻe để còn đi học với đi làm Tối còn xem a Độ,,,Mặc dù là vẫn còn nhiều vấn đề cần giải quyếtt nhưng mà mong bạn luônn tích cực với giữ sức khoẻe để còn đi học với đi làm Tối còn xem a Độ
Dạ tớ cảm ơn ạ mãi cày view cho anh Độ,cày view,,Dạ tớ cảm ơn ạ mãi xem video cho anh Độ
xinh gái nhưng phải vật lộn ha thích coi hành trình này ghê,,,xinh gái nhưng phải vật lộn ha thích coi hành trình này ghê
Là có cái mặt cũng hết xinh rồi ý ạ tác động yếu tố bên ngoài giờ mặt em như cái hố boom ra đường giờ toàn phải đeo khẩu trang bịt kín như ninja,,,Là có cái mặt cũng hết xinh rồi ý ạ tác động yếu tố bên ngoài giờ mặt em như cái hố boom ra đường giờ toàn phải đeo khẩu trang bịt kín như ninja
Là một cter gửi đến bạn vạn sự bình an luôn vui vẻ tích cực nhé,,,Là một cter gửi đến bạn vạn sự bình an luôn vui vẻ tích cực nhé
Cựu Cter cảm ơn bạn ạ chúc bạn cũng luôn vui vẻ may mắn gặp nhiều điều tốt nhaa,,,Cựu Cter cảm ơn bạn ạ chúc bạn cũng luôn vui vẻ may mắn gặp nhiều điều tốt nhaa
Tớ có thể nói chuyện và tâm sự với cậu không ạ,,,Tớ có thể nói chuyện và tâm sự với cậu không ạ
Chin nhỗi tớ up bài xong nngủ mất xác rồi,chin nhỗi,,xin lỗi tớ up bài xong nngủ mất xác rồi
Thế bây giờ nch thì saooo,,,Thế bây giờ nói chuyện thì saooo
Toi hong hiểu sao mấy bro có thể bỏ cô người yêu như này được,hong,,Toi không hiểu sao mấy bro có thể bỏ cô người yêu như này được
Dạ chuyện này là một câu chuyện dài lắm mình mà kể mọi người quay ra chửi mình ngu liền ạ,,,Dạ chuyện này là một câu chuyện dài lắm mình mà kể mọi người quay ra chửi mình ngu liền ạ
Kể đi tò mò,,,Kể đi tò mò
Đồng cảm với cậu vì năm nay tớ cũng khủng hoảng thất nghiệp chia tay ny tiền nong chật vật nhưng sẽ ổn thui nà Giờ tớ đang bắt đầu tiết kiệm từng 100k để phòng rủi ro thất nghiệp trong tương lai nè chúc may mắn đến với cậu nha,,,Đồng cảm với cậu vì năm nay tớ cũng khủng hoảng thất nghiệp chia tay người yêu tiền nong chật vật nhưng sẽ ổn thui nà Giờ tớ đang bắt đầu tiết kiệm từng 100 nghìn để phòng rủi ro thất nghiệp trong tương lai nè chúc may mắn đến với cậu nha
Dạaa tớ cảm ơn cậu ạ chúc cậu mọi việc thành công suôn sẻ nhiều sức khỏe nhaa Đặc biệt là chúc cậu siêu giàu cực kỳ giàu giàu dã man ạ,,,Dạaa tớ cảm ơn cậu ạ chúc cậu mọi việc thành công suôn sẻ nhiều sức khỏe nhaa Đặc biệt là chúc cậu siêu giàu cực kỳ giàu giàu dã man ạ
Ôm cậu,,,Ôm cậu
ok cậu và tớ cũn thế,,,ok cậu và tớ cũn thế
Hông buồn nheee sắp năm mới rồi chúng mình làm lạiii,hông,,không buồn nheee sắp năm mới rồi chúng mình làm lạiii
Còn thở là thành công Qua chông gai rồi sẽ có quà,,,Còn thở là thành công Qua chông gai rồi sẽ có quà
Dạaa mong quà năm sau quà là ra đường vấp 10 cục vàng em té vỡ đầu cũng được,,,Dạaa mong quà năm sau quà là ra đường vấp 10 cục vàng em té vỡ đầu cũng được
thôi đừng tiền mất tật đừng mang,,,thôi đừng tiền mất tật đừng mang
Đầu năm nay đầu tư thua mất 400tr Cuối năm bị trộm sh xong mất thêm 100tr nữa,,,Đầu năm nay đầu tư thua mất 400 triệu Cuối năm bị trộm sh xong mất thêm 100 triệu nữa
Ôm miếng an ủi ạ cái này mất mát nhiều quá,,,Ôm miếng an ủi ạ cái này mất mát nhiều quá
Nghe tệ vl nhưng cố lên,vl,vl,Nghe tệ thật nhưng cố lên
Dạ mình cảm ơn cố bằng cả nội tạng luôn,,,Dạ mình cảm ơn cố bằng cả nội tạng luôn
năm nay của a cũng như c,như c,,năm nay của anh cũng tệ
Hông ạ,hông,,không ạ
sát cuối năm cũng bị đuổi việc thiệc là vlin,vlin,vlin,sát cuối năm cũng bị đuổi việc thiệc là tệ
Buồn thúi ruột mà công việc em còn rất thích cũng gắn bó nmà em không cân bằng nổi việc gia đình và đi làm nên bị đuổi cũng không oan nmà vẫn tiếc vì thật sự rất thích công việc và môi trường làm việc,thúi ruột,,Buồn lắm mà công việc em còn rất thích cũng gắn bó nhưng mà em không cân bằng nổi việc gia đình và đi làm nên bị đuổi cũng không oan nhưng mà vẫn tiếc vì thật sự rất thích công việc và môi trường làm việc
"Bác sĩ bảo nếu không chữa chị ngay, khả năng bị thúi ruột rất cao",,,"Bác sĩ bảo nếu không chữa chị ngay, khả năng bị thúi ruột rất cao"
mình cũng học theo nghề thích mà n k chọn,,,mình cũng học theo nghề thích mà nó không chọn
Siêu buồn,,,Siêu buồn
Mình cũng có một năm như l vậy,như l,,Mình cũng có một năm tệ vậy
Ôm miếng nè qua năm mới mình làm lại,,,Ôm miếng nè qua năm mới mình làm lại
Cố lên gỡ từng khó khăn 1 nha,,,Cố lên gỡ từng khó khăn 1 nha
Dạaaa vâng em cảm ơn ạ em sẽ cố gắng làm từng cái một để không bị quá tải,,,Dạaaa vâng em cảm ơn ạ em sẽ cố gắng làm từng cái một để không bị quá tải
Nợ vụ j v bạn,,,Nợ vụ gì vậy bạn
Nợ của anh trai mình nmà tình huống éo le nên mình trả ạ,,,Nợ của anh trai mình nhưng mà tình huống éo le nên mình trả ạ
Mình thì k căng như b nhma mình cx coi a độ để chữa lành,,cx,Mình thì không căng như bạn nhưng mà mình cũng coi a độ để chữa lành
Sẽ ổn thôi sẽ ổn thôi,,,Sẽ ổn thôi sẽ ổn thôi
Ổn mò nmà tủi thân ÓÒ,ổn mò,,Ổn mà nhưng mà tủi thân ÓÒ
Đời mà mấy khi đc như ta muốn đâu vượt qua được nó là trưởng thành hơn rồi cố lên,,,Đời mà mấy khi được như ta muốn đâu vượt qua được nó là trưởng thành hơn rồi cố lên
Dạaaa mình cảm ơn Có các bạn động viên mình cố bằng 1000 công lực tu luyện luôn,,,Dạaaa mình cảm ơn Có các bạn động viên mình cố bằng 1000 công lực tu luyện luôn
Heheh không có chiii,,,Heheh không có chiii
Công nhận 1 năm như l thiệt hên còn đc a độ mixi stream chứ k k biết làm sao luôn,như l,,Công nhận 1 năm tệ thiệt hên còn được anh độ mixi stream chứ không không biết làm sao luôn
Cố lên chọn vượt qua từng cái một đặt mục tiêu ngắn hạn thôi bạn Chúc bạn vững vàng trong chặng đường tiếp theo nhé,,,Cố lên chọn vượt qua từng cái một đặt mục tiêu ngắn hạn thôi bạn Chúc bạn vững vàng trong chặng đường tiếp theo nhé
Dạaa mình cảm ơn ạ chúc bạn luôn mạnh khỏe vui vẻ cười khà khà cả đời nhaaa,,,Dạaa mình cảm ơn ạ chúc bạn luôn mạnh khỏe vui vẻ cười khà khà cả đời nhaaa
Ôm ôm nè hi vọng năm sau em sẽ khá hơn,,,Ôm ôm nè hi vọng năm sau em sẽ khá hơn
Dạ em cảm ơn ạaaa ôm siêu chặt luôn,,,Dạ em cảm ơn ạaaa ôm siêu chặt luôn
là tui nè ông tui nè,,,là tui nè ông tui nè
CONCERT ĐÁNG NHỚ QUÁ KHÔNG QUÊN ĐƯỢC MỌI THỨ DIỄN RA SIÊU HOÀN HẢO SÂN KHẤU ÂM THANH PHẢI GỌI LÀ ĐỈNH NÓC KỊCH TRẦN BAY PHẤP PHỚI,Đỉnh nóc kịch trần bay phấp phới,,CONCERT ĐÁNG NHỚ QUÁ KHÔNG QUÊN ĐƯỢC MỌI THỨ DIỄN RA SIÊU HOÀN HẢO SÂN KHẤU ÂM THANH PHẢI GỌI LÀ siêu đỉnh
Được cái gen chân thẳng mà trộm vía đùi ex,,,Được cái gen chân thẳng mà trộm vía đùi ex
 Mong con tôi lấy vía chân nhà nội chứ đùi ex ăn mặc khổ lắm thích mặc cái gì ngắn up lên là phải xingtu mệt người,xingtu,, Mong con tôi lấy vía chân nhà nội chứ đùi ex ăn mặc khổ lắm thích mặc cái gì ngắn up lên là phải chỉnh sửa ảnh mệt người
Đớn,đớn,,đau
Các bạn trẻ ra đường cầm 100 200k tiền mặt nó nặng lắm hay sao mà dạo này không thấy ai có tiền mặt vậy,,,Các bạn trẻ ra đường cầm 100 200 nghìn tiền mặt nó nặng lắm hay sao mà dạo này không thấy ai có tiền mặt vậy
Thiệt là các bạn mang tiền mặt đi nó mệt lắm hả Lỡ có vấn đề gì các bạn còn mệt hơn nữa đó,,,Thiệt là các bạn mang tiền mặt đi nó mệt lắm hả Lỡ có vấn đề gì các bạn còn mệt hơn nữa đó
Gì kỳ vậy cháu không có tiền mặt mà cháu phải đi gấp,,,Gì kỳ vậy cháu không có tiền mặt mà cháu phải đi gấp
Lụm nhặt mn thấy sao viral,,,Lụm nhặt mọi người thấy sao viral
Con gái chú nó đi ship hàng rồi chú không biết xài đt cháu đưa tiền mặt hay đợi nó về được không,,,Con gái chú nó đi ship hàng rồi chú không biết xài điện thoại cháu đưa tiền mặt hay đợi nó về được không
Chú cho con chuyển tiền,,,Chú cho con chuyển tiền
Đổi sang ko dùng tiền mặt là đúng đắn Chú bán hàng mà ko biết đa dạng cách thu thì chú cần phải học hỏi thêm,,,Đổi sang không dùng tiền mặt là đúng đắn Chú bán hàng mà không biết đa dạng cách thu thì chú cần phải học hỏi thêm
Tui cũng thường xuyên ck nhưng việc PHẢI có tiền mặt trong túi t nghĩ là chuyện cần thiết Chả lẽ các bạn k nghĩ đến trường hợp đúng lúc cái đt của các bạn tịt hả Ngân hàng bảo trì Mạng gãy,,,Tui cũng thường xuyên chuyển khoản nhưng việc PHẢI có tiền mặt trong túi tui nghĩ là chuyện cần thiết Chả lẽ các bạn không nghĩ đến trường hợp đúng lúc cái điện thoại của các bạn tịt hả Ngân hàng bảo trì Mạng gãy
Chuẩn như vụ của tp bank bị mấy ngày lun í,,,Chuẩn như vụ của tp bank bị mấy ngày lun í
Quan trọng trước khi ăn nên hỏi dùm có chuyển khoản không Nhà t cũng mở quán ăn khách đều hỏi xong mới quyết định ăn hay không Những phụ huynh lớn tuổi sẽ không biết sử dụng tk họ cũng sợ bị lừa nữa,,,Quan trọng trước khi ăn nên hỏi dùm có chuyển khoản không Nhà tôi cũng mở quán ăn khách đều hỏi xong mới quyết định ăn hay không Những phụ huynh lớn tuổi sẽ không biết sử dụng tài khoản họ cũng sợ bị lừa nữa
Chuẩn lun t đi ăn cũm thế,cũm,,Chuẩn luôn t đi ăn cũng thế
K mệt nhưng ngại cầm tiền lẻ Mà k muốn tip,,,Không mệt nhưng ngại cầm tiền lẻ Mà không muốn tip
Thật ra có những lúc tui nghèo ko có nổi tiền mặt tiền bank cũng ko bõ để ra cây atm để rút ck thấy bthg nên chả suy nghĩ j nhiều Quán nào ko nhận ck thì thiệt chứ mình là khách có quyền lựa chọn mà,,,Thật ra có những lúc tui nghèo không có nổi tiền mặt tiền bank cũng không bõ để ra cây atm để rút chuyển khoản thấy bình thường nên chả suy nghĩ gì nhiều Quán nào không nhận chuyển khoản thì thiệt chứ mình là khách có quyền lựa chọn mà
Đúng òi trăm người bán vạn người mua mà mk được lựa phù hợp với mình hết,,,Đúng rồi trăm người bán vạn người mua mà mình được lựa phù hợp với mình hết
Ê thật tưởng mỗi t thấy bực như thế T cũng là ng rất hay chuyển khoản nhưng tuỳ chỗ ví dụ nhà hàng quán ăn lớn oke bạn chuyển khoản kh ai nói gì bạn Nhưng mà quán vỉa hè đổ xăng đang có 1 hàng dài chờ mà đợi bạn chuyển khoản thì rất mất thgian chưa kể có những má kh có 4G mà cũng mạnh dạn đòi chuyển khoản thì cũng đến ạ Nên là làm ơn đi ra ngoài ít nhất có 50 100k trong túi đi trời lỡ xịt lốp bể bánh xe rồi sao có 35k kh lẽ cũng chuyển khoản,,,Ê thật tưởng mỗi tôi thấy bực như thế tôi cũng là người rất hay chuyển khoản nhưng tuỳ chỗ ví dụ nhà hàng quán ăn lớn oke bạn chuyển khoản không ai nói gì bạn Nhưng mà quán vỉa hè đổ xăng đang có 1 hàng dài chờ mà đợi bạn chuyển khoản thì rất mất thời gian chưa kể có những má không có 4G mà cũng mạnh dạn đòi chuyển khoản thì cũng đến ạ Nên là làm ơn đi ra ngoài ít nhất có 50 100 nghìn trong túi đi trời lỡ xịt lốp bể bánh xe rồi sao có 35 nghìn không lẽ cũng chuyển khoản
Chuẩn c ơi có 1 ít tiền mặt trong người vẫn ok hơn,,,Chuẩn chị ơi có 1 ít tiền mặt trong người vẫn ok hơn
Mang tiền mặt mệt thật mà bạn Còn dễ rơi,,,Mang tiền mặt mệt thật mà bạn Còn dễ rơi
Mở cái quẹt QR đi bạn bh mấy bên dịch vụ còn có cả loa đọc lên cho bố bạn nghe là ai ck bao nhiêu tiền ngay lập tức luôn ấy Giải pháp dễ dàng cho việc kinh doanh nhà bạn mà dễ cả cho khách nữa Sức để lo bán hàng đi chứ thừa hơi hậm hực khách nữa,,QR,Mở cái quẹt mã phản hồi nhanh đi bạn bây giờ mấy bên dịch vụ còn có cả loa đọc lên cho bố bạn nghe là ai chuyển khoản bao nhiêu tiền ngay lập tức luôn ấy Giải pháp dễ dàng cho việc kinh doanh nhà bạn mà dễ cả cho khách nữa Sức để lo bán hàng đi chứ thừa hơi hậm hực khách nữa
Phải ra cây ATM rút mới đc vì lương hay trợ cấp đều chuyển khoản hết,,,Phải ra cây rút tiền rút mới được vì lương hay trợ cấp đều chuyển khoản hết
Thời buổi công nghệ rồi thay vào đó sao quán nhà b ko in mã qr ra bây giờ đi chợ còn banking được mà nói gì đến quán ăn Đi ra đường ko cần cầm túi cầm bóp chỉ cần cầm theo mỗi cái dt ko phải quá tiện hay sao,,qr,Thời buổi công nghệ rồi thay vào đó sao quán nhà b ko in mã phản hồi nhanh ra bây giờ đi chợ còn banking được mà nói gì đến quán ăn Đi ra đường không cần cầm túi cầm bóp chỉ cần cầm theo mỗi cái điện thoại không phải quá tiện hay sao
đầu tiên là ngại đi rút tiền vì lương h vào bank luôn,,,đầu tiên là ngại đi rút tiền vì lương giờ vào bank luôn
Chả nhẽ t lại bảo là nặng thật,,,Chả nhẽ tao lại bảo là nặng thật
mắc gì bạn phải dùng từ kiểu CÁC BẠN TRẺ nặng lắm hay sao Bạn nói nặng lời quá ý,,,mắc gì bạn phải dùng từ kiểu CÁC BẠN TRẺ nặng lắm hay sao Bạn nói nặng lời quá ý
Cầm tiền thì cầm thêm ví K cầm ví thì đút linh tinh rơi tiền Có lúc t ra ngoài cầm mỗi cái đt thôi cho nhẹ ng nè,,,Cầm tiền thì cầm thêm ví Không cầm ví thì đút linh tinh rơi tiền Có lúc tôi ra ngoài cầm mỗi cái điện thoại thôi cho nhẹ người nè
thế t hỏi bạn ra đường cầm mỗi cái đthoai lỡ có chuyện gì mà điện thoại sập nguồn thì sao Cầm mỗi cái ví mà cũng lười R giấy tờ cá nhân giấy phép lái xe ti tỉ thứ giấy tờ khác bạn cũng lười đem à Ai cx như bạn chắc cái xh nó loạn mẹ mất Để t kiến nghị bãi bỏ cái cccd đi cho nó nhẹ người,,cx,thế tôi hỏi bạn ra đường cầm mỗi cái điện thoại lỡ có chuyện gì mà điện thoại sập nguồn thì sao Cầm mỗi cái ví mà cũng lười rồi giấy tờ cá nhân giấy phép lái xe ti tỉ thứ giấy tờ khác bạn cũng lười đem à Ai cũng như bạn chắc cái xã hội nó loạn mẹ mất Để tôi kiến nghị bãi bỏ cái căn cước công dân đi cho nó nhẹ người
Mày sống ở thế kỷ nào thế Bây giờ chủ trương nhà nước là chuyển đổi số có app tích hợp hết cách giấy tờ tuỳ thân rồi còn cầm giấy tờ trong người làm cc gì Thích đi ngược lại với xã hội à,cc,,Mày sống ở thế kỷ nào thế Bây giờ chủ trương nhà nước là chuyển đổi số có app tích hợp hết cách giấy tờ tuỳ thân rồi còn cầm giấy tờ trong người làm cái gì Thích đi ngược lại với xã hội à
Chủ trương nhà nước chuyển đổi số chứ đ phải ra đường trên răng dưới cắc tút Vẫn câu hỏi cũ điện thoại sập nguồn thì ăn c à Công an dừng kiểm tra hành chính thì kêu anh đợi tí để em về sạc pin Mang theo giấy tờ tuỳ thân là dùng cho những lúc đó đó ông nhõi ạ,"đ, ăn c",,Chủ trương nhà nước chuyển đổi số chứ đâu phải ra đường trên răng dưới cắc tút Vẫn câu hỏi cũ điện thoại sập nguồn thì chịu à Công an dừng kiểm tra hành chính thì kêu anh đợi tí để em về sạc pin Mang theo giấy tờ tuỳ thân là dùng cho những lúc đó đó ông nhõi ạ
Xin lỗi vì không dùng tiền mặt,,,Xin lỗi vì không dùng tiền mặt
Mệt rất phiền luôn,,,Mệt rất phiền luôn
Giờ k có ngân hàng thì thiệt lắm K mấy c chỉ bác dùng r mua thêm cái loa để tb có chuyển tiền í Tiện lắm c,,,Giờ không có ngân hàng thì thiệt lắm Không mấy chị chỉ bác dùng rồi mua thêm cái loa để thông báo có chuyển tiền í Tiện lắm chị
1 là dán hẳn cái bảng k nhận chuyển khoản 2 là b in hẳn cái qr lên để cho khách họ quét chứ họ đi ăn cũng trả tiền chứ có phải quỵt đâu mà đăng bài chửi khách vì k có tiền mặt nhỡ đâu hôm đấy họ quên k đem tiền mặt hoặc nta ch kịp đi rút thì s tr làm ăn buôn bán mà mỗi cái việc đấy cũng nặng nhẹ khách hàng,,qr,1 là dán hẳn cái bảng không nhận chuyển khoản 2 là bạn in hẳn cái mã thanh toán lên để cho khách họ quét chứ họ đi ăn cũng trả tiền chứ có phải quỵt đâu mà đăng bài chửi khách vì không có tiền mặt nhỡ đâu hôm đấy họ quên không đem tiền mặt hoặc người ta chưa kịp đi rút thì sao trời làm ăn buôn bán mà mỗi cái việc đấy cũng nặng nhẹ khách hàng
