Text ,Slang,Abbreviations,Text meaning
con khỉ đánh đu trên cành cây,,,con khỉ đánh đu trên cành cây
lâu lắm rùi mới được nghe a hát ngày mai em rời xa lại tiếp tục hóng source của các bạn đi mlt tối nay ạ,,mlt,lâu lắm rùi mới được nghe anh hát ngày mai em rời xa lại tiếp tục hóng source của các bạn đi mai làm thế tối nay ạ
tuy chỉ lướt qua 1 xíu tui cũng tan chảy vì độ soft của a thiên vs cô dâu hào môn của ảnh nhận quà và đưa tận tay e,,,tuy chỉ lướt qua 1 xíu tui cũng tan chảy vì độ soft của anh thiên với cô dâu hào môn của ảnh nhận quà và đưa tận tay em
ê anh thiên ảnh bị cam hại hay sao á chứ hqua coi ảnh qua led trực tiếp cũng đẹp trai hơn mấy cái fancam quay led là sao nữa,,,ê anh thiên ảnh bị cam hại hay sao á chứ hôm qua coi ảnh qua led trực tiếp cũng đẹp trai hơn mấy cái fancam quay led là sao nữa
iu z tr ơi cíuuuuuuu,,,yêu vậy trời ơi cíuuuuuuu
nhưng mình có một thắc mắc cái nè thắc mắc thiệt ,,,nhưng mình có một thắc mắc cái nè thắc mắc thiệt 
sao mấy anh như atus như sơn tùng mono chẳng bao giờ thấy lộ lịch bay mà sao mấy cha nội như dương captain quang hùng lần bay nào cũng bị camp vậy nhỉ,,,sao mấy anh như atus như sơn tùng mono chẳng bao giờ thấy lộ lịch bay mà sao mấy cha nội như dương captain quang hùng lần bay nào cũng bị camp vậy nhỉ
sao mng biết được lịch bay vậy hay là hên xui dựa theo lịch trình diễn mà đoán chuyến bay,,,sao mọi người biết được lịch bay vậy hay là hên xui dựa theo lịch trình diễn mà đoán chuyến bay
đoán được hết đó mấy anh toàn diễn sát ngày nhau với căn bản là ý thức fan nx chứ nếu muốn camp thì kiểu gì cx bt,,nx cx bt,đoán được hết đó mấy anh toàn diễn sát ngày nhau với căn bản là ý thức fan nữa chứ nếu muốn camp thì kiểu gì cũng biết
giỏi thiệt đó tui chưa từng có ý định camp sân bay nhg mà thấy có nhiều b camp suốt mà toàn gặp đc đúng chuyến ý nên thắc mắc ghê,,,giỏi thiệt đó tui chưa từng có ý định camp sân bay nhưng mà thấy có nhiều bạn camp suốt mà toàn gặp được đúng chuyến ý nên thắc mắc ghê
lịch làm việc dày được public tra thông tin chuyến bay rồi camp thôi chứ ko phải bị biết đâu á nhìn cái lịch của dương thấy mệt dùm anhtraisayhi,,,lịch làm việc dày được public tra thông tin chuyến bay rồi camp thôi chứ không phải bị biết đâu á nhìn cái lịch của dương thấy mệt dùm anhtraisayhi
tui hỏi vu vơ thôi bà hashtag nó viral lên tui sợ,,,tui hỏi vu vơ thôi bà hashtag nó viral lên tui sợ
atus có bảo hữu duyên lắm mới biết được,hữu duyên,,atus có bảo may mắn lắm mới biết được
đu anh kể cũng nhàn bà ha vạn sự tuỳ duyên nhưng mà thế lại hay nghệ sĩ đc riêng tư,đu,,ủng hộ anh kể cũng nhàn bà ha vạn sự tuỳ duyên nhưng mà thế lại hay nghệ sĩ được riêng tư
lịch qh dày bay đi bay lại như chim đợi trong ngày là sẽ gặp đk ak,,,lịch quay hình dày bay đi bay lại như chim đợi trong ngày là sẽ gặp được à
ê gì mà ví dụ mắc cười z má t cười 5p r á,,,ê gì mà ví dụ mắc cười vậy má tao cười 5 phút rồi á
vdu đợt vừa r qhung chạy lịch 78912 thì lịch bay dễ đoán lắm ấy vca là lịch trình cũng dày nên để ý kĩ là biết mà,,,ví dụ đợt vừa rồi quang hùng chạy lịch 78912 thì lịch bay dễ đoán lắm ấy với cả là lịch trình cũng dày nên để ý kĩ là biết mà
dựa vào lịch để phán đoán ấy ạ xem ngày diễn thì thời gian bay chỉ diễn ra trong khoảng 12 ngày của ngày diễn thôi nên nếu biết ngày bay cũng không khó,,,dựa vào lịch để phán đoán ấy ạ xem ngày diễn thì thời gian bay chỉ diễn ra trong khoảng 12 ngày của ngày diễn thôi nên nếu biết ngày bay cũng không khó
lịch diễn đc update ý thành ra fan tra giờ bay rồi cứ thế ngồi camp thôi camp tới chừng nào thấy idol là đc,,,lịch diễn được update ý thành ra fan tra giờ bay rồi cứ thế ngồi camp thôi camp tới chừng nào thấy idol là đc
tại lịch dày quá nên sẽ biết mấy ổng bao khoảng thời gian nào ấy,,,tại lịch dày quá nên sẽ biết mấy ổng bao khoảng thời gian nào ấy
đi vào huyền thoại,,,đi vào huyền thoại
tôi lúc thấy an đặng ở tập 1 diễn viên hài mới vào nghề hả sao đứng nói chuyện với tt vui quá vậy,,tt,tôi lúc thấy an đặng ở tập 1 diễn viên hài mới vào nghề hả sao đứng nói chuyện với trấn thành vui quá vậy
coi cái lượng điện thoại giơ lên cao lúc anh ta nằm xuống kìa,,,coi cái lượng điện thoại giơ lên cao lúc anh ta nằm xuống kìa
lên lại con mã chân thành nobeat d3 atsh,con mã,atsh,lên lại bài hát chân thành nobeat d3 anh trai say hi
kỳ thủ cờ vây dùng con mã để chiếu tướng,,,kỳ thủ cờ vây dùng con mã để chiếu tướng
tức nhất là d1 lại hok có con mã này mà nhắm mắt là tới d5 cmnr,cmnr con mã,cmnr,tức nhất là d1 lại không có bài hát này mà nhắm mắt là tới d5 luôn rồi
liệu người ấy có iêu iem chân thành,,,liệu người ấy có yêu em chân thành
nếu khóc cứ chạy lại với anh,,,nếu khóc cứ chạy lại với anh
t cũng áp dụng công thức mà lạ lắm mom ơi,mom,,tui cũng áp dụng công thức mà lạ lắm bạn ơi
cô ơi trong tiếng anh mom là chỉ người mẹ đúng không ạ,,,cô ơi trong tiếng anh mom là chỉ người mẹ đúng không ạ
trước t còn xem bản đồ sao trên đó mà nó đúng vỡi ò,vỡi ò,,trước tao còn xem bản đồ sao trên đó mà nó đúng cực
là mình tự rút bài xong bảo nó giati thích hả mn,,,là mình tự rút bài xong bảo nó giải thích hả mọi người
bạn bảo nó rút cũng được á,,,bạn bảo nó rút cũng được á
ê đúng á trc t cũng coi kiểu coi chơi chơi vui vui th kh ai ngờ nó xảy ra đúng nthe sốc vãi,,,ê đúng á trước tôi cũng coi kiểu coi chơi chơi vui vui thôi không ai ngờ nó xảy ra đúng như thế sốc vãi
tui cũng thế tự dưng nổi hứng lên xem thử ai dè đúng quá tr bật ngửa luôn,,,tui cũng thế tự dưng nổi hứng lên xem thử ai dè đúng quá trời bật ngửa luôn
ê ý là các bà xem bản thường hay bản pro nâng cấp ấy vậy mình cũng muốn thử,,,ê ý là các bà xem bản thường hay bản pro nâng cấp ấy vậy mình cũng muốn thử
thường á ng đẹp,,,thường á người đẹp
ê nó đúng thiệt,,,ê nó đúng thiệt
khám phá mới,,,khám phá mới
coi bói tử vi cũng khá là đúng nha,,,coi bói tử vi cũng khá là đúng nha
coi bói bài tây thấy cũng đúng ,,,coi bói bài tây thấy cũng đúng 
hqua mình cx vừa xem và nó đúng vãi tối hôm ý mình move on luôn,vãi,cx,hôm qua mình cũng vừa xem và nó đúng cực tối hôm ý mình move on luôn
đã z toi nhắn thì nó bảo chỉ giải thích ý nghĩa lá bài dc thui,,,đã vậy toi nhắn thì nó bảo chỉ giải thích ý nghĩa lá bài được thui
bà bảo nó bốc bài cho bà nó có bốc á,,,bà bảo nó bốc bài cho bà nó có bốc á
vừa chuyển sang plus thì oke rùi nma mỗi lá dc có 1 câu thôi đúng khum kiểu cũng trúng nma k sâu lắm ấy thì dùng lệnh gì nữa nhỉ,khum,,vừa chuyển sang plus thì oke rùi nhưng mà mỗi lá được có 1 câu thôi đúng không kiểu cũng trúng nhưng mà không sâu lắm ấy thì dùng lệnh gì nữa nhỉ
hãy chi tiết nhất có thể,,,hãy chi tiết nhất có thể
zạ,,,dạ
toiii cũng đúng,,,toiii cũng đúng
bất ngờ chuaa,,,bất ngờ chuaa
ơ cứ tưởng mỗi mình em mê xem tarot trên đó thui chứ kkkk,,,ơ cứ tưởng mỗi mình em mê xem tarot trên đó thui chứ kkkk
coi riết ghiền,,,coi riết ghiền
nma công nhận nó cũm đúng thiệc,cũm,,nhưng mà công nhận nó cũng đúng thiệc
bất ngờ liền,,,bất ngờ liền
phải ko má,,,phải không má
thì đúng với t còn mấy bà như nào sao t biết được với cả ai dean tới mức pr cho con chatgpt,,,thì đúng với tui còn mấy bà như nào sao tui biết được với cả ai dean tới mức pr cho con chatgpt
meta ai trên mess cũng xịnnnn nhe,,,meta ai trên mess cũng xịnnnn nhe
ê sốp ơi t thử mà nó đúng ghê á,sốp,,ê bạn ơi tui thử mà nó đúng ghê á
xem bđs trên chat gpt cũng đúng lắm luôn ý,,,xem bản đồ sao trên chat gpt cũng đúng lắm luôn ý
ê tui mới thử nè cả bài tarot lẫn bài tây luôn nó đúng vãi á vừa đọc vừa há hốc mồm luôn,vãi,,ê tui mới thử nè cả bài tarot lẫn bài tây luôn nó đúng cực á vừa đọc vừa há hốc mồm luôn
shock liền,,,shock liền
ê tht nha má,,,ê thật nha má
anh tự hào về em người luôn lắng nghe từng câu chuyện anh kể,,,anh tự hào về em người luôn lắng nghe từng câu chuyện anh kể
sao cảm giác người việt nam với người châu á hay có kiểu bi kịch hóa hình ảnh người mẹ,,,sao cảm giác người việt nam với người châu á hay có kiểu bi kịch hóa hình ảnh người mẹ
bi kịch xong rồi tung hô lên,,,bi kịch xong rồi tung hô lên
t ko bh ngấm được câu,,,t không bao giờ ngấm được câu
mẹ đã quên dần quên ước mơ của mẹ là j nếu yêu thương ng pn của mình thì mỗi ng nên tự ý thức trách nhiệm cv của mình chứ không hy sinh nhé đừng vì cố giật cho đc cái giải phụ nữ hy sinh mà đánh mất tự do cđ của mình,,,mẹ đã quên dần quên ước mơ của mẹ là gì nếu yêu thương người phụ nữ của mình thì mỗi người nên tự ý thức trách nhiệm công việc của mình chứ không hy sinh nhé đừng vì cố giật cho được cái giải phụ nữ hy sinh mà đánh mất tự do có được của mình
gái nam gái bắc nó cũng v á,,,gái nam gái bắc nó cũng vậy á
vì lũ trai miền nam thì chiều ny lắm vào riết nó hư người còn gái nam ấy thì được chiều nên lười làm đấy,,,vì lũ trai miền nam thì chiều người yêu lắm vào riết nó hư người còn gái nam ấy thì được chiều nên lười làm đấy
ý bạn là danh hiệu mẹ vn anh hùng cx là bi kịch hóa hả,,vn cx,ý bạn là danh hiệu mẹ việt nam anh hùng cũng là bi kịch hóa hả
mê cái cách anh này xuyên tạc và nhét chữ topic rất bình thường làm ơn đừng lôi chủ nghĩa dân tộc vào tôi lạy anh,,,mê cái cách anh này xuyên tạc và nhét chữ topic rất bình thường làm ơn đừng lôi chủ nghĩa dân tộc vào tôi lạy anh
tại vì nó bi kịch thật chứ cần gì phải hóa nó lên,,,tại vì nó bi kịch thật chứ cần gì phải hóa nó lên
bi kịch hoá hay ko bạn nhìn mẹ bạn là biết kìa đã hy sinh những gì cho bạn và gia đình mẹ mình ko làm những việc to lớn chỉ riêng chăm sóc gia đình nuôi nấng anh em mình nên người mình đã thấy rất thương rồi huống gì những người mẹ ngày xưa,,,bi kịch hoá hay không bạn nhìn mẹ bạn là biết kìa đã hy sinh những gì cho bạn và gia đình mẹ mình không làm những việc to lớn chỉ riêng chăm sóc gia đình nuôi nấng anh em mình nên người mình đã thấy rất thương rồi huống gì những người mẹ ngày xưa
xin lỗi tổ tiên chứ con k chịu khổ đâu thằng nào làm con khổ cho biến luôn thời mẹ mình còn có tư tưởng này mẹ cũng hay gieo rắc tư tưởng là phải hi sinh cho gđ chồng con nhưng sao phải khổ thế sống là phải bình đẳng chứ cùng là con người cùng là gđ sao phải hầu hạ như thế đc,,,xin lỗi tổ tiên chứ con không chịu khổ đâu thằng nào làm con khổ cho biến luôn thời mẹ mình còn có tư tưởng này mẹ cũng hay gieo rắc tư tưởng là phải hi sinh cho gia đình chồng con nhưng sao phải khổ thế sống là phải bình đẳng chứ cùng là con người cùng là gia đình sao phải hầu hạ như thế đc
bạn chưa sinh con đúng ko,,,bạn chưa sinh con đúng không
dạ e k định lấy chồng luôn ạ,,,dạ e không định lấy chồng luôn ạ
pn h sướng hơn r chứ các mẹ thời trc khổ là thật trừ nhỏ nhà giàu số còn lại khổ bm nho giáo sanh nhiều sanh con trai công dung ngôn hạnh 3 tòng 4 đức ai tư duy pt thì còn tốn tgian học hành làm lụng,bm,,phụ nữ giờ sướng hơn rồi chứ các mẹ thời trước khổ là thật trừ nhỏ nhà giàu số còn lại khổ lắm nho giáo sanh nhiều sanh con trai công dung ngôn hạnh 3 tòng 4 đức ai tư duy phát triển thì còn tốn thời gian học hành làm lụng
đó là góc nhìn của 1 đứa con hiểu chuyện tới 1 độ tuổi b sẽ thương bố mẹ hơn tự thấy nếu k dành thgian và đầu tư cho mình ăn học bố mẹ sẽ làm dc nhiều thứ hơn học nhiều hơn đi nhiều hơn pt hơn thư thả hơn không phải bi kịch hoá mà là sự trải nghiệm đủ và lòng biết ơn,,,đó là góc nhìn của 1 đứa con hiểu chuyện tới 1 độ tuổi bạn sẽ thương bố mẹ hơn tự thấy nếu không dành thời gian và đầu tư cho mình ăn học bố mẹ sẽ làm được nhiều thứ hơn học nhiều hơn đi nhiều hơn phát triển hơn thư thả hơn không phải bi kịch hoá mà là sự trải nghiệm đủ và lòng biết ơn
còn phương tây thì hay bi kịch hóa bản thân bạn ơi,,,còn phương tây thì hay bi kịch hóa bản thân bạn ơi
bị gì thế,,,bị gì thế
bi kịch hoá bộ m nghĩ con người muốn khổ lắm à m nhìn lại xuyên suốt lịch sử của vn đi xem thực tế nó ntn đã ngoo còn ko tự học hỏi,,vn,bi kịch hoá bộ mày nghĩ con người muốn khổ lắm à mày nhìn lại xuyên suốt lịch sử của việt nam đi xem thực tế nó như thế nào đã ngoo còn không tự học hỏi
do đặc thù nho giáo phụ hệ đàn ông là chủ gia đình quốc gia nên hình ảnh người mẹ hay được bi kịch lên ca ngợi hy sinh chịu đựng như 1 cách thao túng tâm lý cho phụ nữ phục tùng cam chịu,,,do đặc thù nho giáo phụ hệ đàn ông là chủ gia đình quốc gia nên hình ảnh người mẹ hay được bi kịch lên ca ngợi hy sinh chịu đựng như 1 cách thao túng tâm lý cho phụ nữ phục tùng cam chịu
bạn đặt nhầm câu hỏi rồi câu hỏi phải là làm thế nào để hình ảnh người mẹ ở vn không thể bi kịch hóa nữa,,vn,bạn đặt nhầm câu hỏi rồi câu hỏi phải là làm thế nào để hình ảnh người mẹ ở việt nam không thể bi kịch hóa nữa
các cháu mới lớn được tiếp cận internet sớm nhưng toàn xem cđg ấy hiểu thế nào đc mà đặt ra những câu hỏi thế này vậy,cđg,,các cháu mới lớn được tiếp cận internet sớm nhưng toàn xem cái gì ấy hiểu thế nào được mà đặt ra những câu hỏi thế này vậy
từ xa xưa lý thuyết nho giáo và đạo khổng tử trọng nam khinh nữ đã được việt nam tiếp nhận từ trung quốc một cách mạnh mẽ người phụ nữ bị đối xử tệ hơn và cực khổ hơn họ luôn phải hướng về gia đình và chăm chút cho gia đình bởi vì cái thuyết phụ nữ phải biết lo toan cho gđ vẫn tồn tại ở các bà mẹ chồng kéo dài từ đời này tới đời khác và tới tận bây giờ vậy nên nó đéo phải bi kịch hoá nó là bi kịch thật những bi kịch ấy cũng được phản ánh rõ nét trong văn học như chiếc thuyền ngoài xa,,,từ xa xưa lý thuyết nho giáo và đạo khổng tử trọng nam khinh nữ đã được việt nam tiếp nhận từ trung quốc một cách mạnh mẽ người phụ nữ bị đối xử tệ hơn và cực khổ hơn họ luôn phải hướng về gia đình và chăm chút cho gia đình bởi vì cái thuyết phụ nữ phải biết lo toan cho gia đình vẫn tồn tại ở các bà mẹ chồng kéo dài từ đời này tới đời khác và tới tận bây giờ vậy nên nó đéo phải bi kịch hoá nó là bi kịch thật những bi kịch ấy cũng được phản ánh rõ nét trong văn học như chiếc thuyền ngoài xa
chúng m ơi mẹ t gửi đồ cho mang đi hn 1 túi to chà bá rồi nma còn xót 1 túi thịt xay mẹ quên bỏ thế là mẹ t ovtk mẹ thương bọn t không có đồ ăn trong khi mới mang 1 túi để chật tủ lạnh lên xong con thì ăn kh hết mẹ ở nhà suy nghí suy nghí lo lắng các thứ lunn,,hn,chúng mày ơi mẹ tao gửi đồ cho mang đi hà nội 1 túi to chà bá rồi nhưng mà còn xót 1 túi thịt xay mẹ quên bỏ thế là mẹ tao ovtk mẹ thương bọn tao không có đồ ăn trong khi mới mang 1 túi để chật tủ lạnh lên xong con thì ăn không hết mẹ ở nhà suy nghí suy nghí lo lắng các thứ lunn
ừ chắc do bạn chưa làm mẹ với bạn không được mẹ thương nên mới có cái cảm giác đấy ý bi kịch hoá cl gì bi kịch thật đấy,cl,,ừ chắc do bạn chưa làm mẹ với bạn không được mẹ thương nên mới có cái cảm giác đấy ý bi kịch hoá cái gì bi kịch thật đấy
khổ thật chứ bi kịch hóa gì,,,khổ thật chứ bi kịch hóa gì
học dốt hay j mà ko biết thời phong kiến thời phong kiến thì gần như cái châu á trải qua,,,học dốt hay gì mà không biết thời phong kiến thời phong kiến thì gần như cái châu á trải qua
first thread thì để dành up cái gì có nghĩa hơn được không vậy,,,first thread thì để dành up cái gì có nghĩa hơn được không vậy
không chỉ riêng hình ảnh người mẹ bị bi kịch hoá mà hình ảnh người phụ nữ ở vn cũng bị bi kịch hoá luôn người vn nói riêng và châu á nói chung thế hệ trước đều bị ảnh hưởng bởi tư tưởng trọng nam khinh nữ bởi vậy nên pn luôn bị chịu thiệt bây giờ cũng đỡ r nhưng tư tưởng đó nó ngấm sâu vào r nên nó vẫn còn tồn tại ở một số khía cạnh,,vn,không chỉ riêng hình ảnh người mẹ bị bi kịch hoá mà hình ảnh người phụ nữ ở việt nam cũng bị bi kịch hoá luôn người việt nam nói riêng và châu á nói chung thế hệ trước đều bị ảnh hưởng bởi tư tưởng trọng nam khinh nữ bởi vậy nên phụ nữ luôn bị chịu thiệt bây giờ cũng đỡ rồi nhưng tư tưởng đó nó ngấm sâu vào rồi nên nó vẫn còn tồn tại ở một số khía cạnh
sao tao cảm thấy má m chưa dạy m đủ tốt chưa ngồi giảng cho m nghe bài học cuộc sống hay chắc chưa than thở với mày lần nào về cái đau lúc rặn lòi l ải ra mày ha,lòi l,,sao tao cảm thấy má mày chưa dạy mày đủ tốt chưa ngồi giảng cho mày nghe bài học cuộc sống hay chắc chưa than thở với mày lần nào về cái đau lúc rặn đẻ ải ra mày ha
ditme một năm như l với tớ vậy,ditme như l,,ôi trời một năm tệ với tớ vậy
tớ bị đuổi việc cmnr tớ năn nỉ quay lại với người tớ yêu đéo được một khoản nợ đéo hiểu từ đâu ra rơi vào đầu tớ chuyện gia đình tớ căng như dây đàn tớ làm cái gì cũng như l tớ tuyệt vọng vãi cả nhổn,cmnr l vãi cả nhổn đéo,cmnr,tớ bị đuổi việc rồi tớ năn nỉ quay lại với người tớ yêu không được một khoản nợ không hiểu từ đâu ra rơi vào đầu tớ chuyện gia đình tớ căng như dây đàn tớ làm cái gì cũng như chán tớ tuyệt vọng lắm
nmà tớ vẫn mừng vì tớ còn ở đây để uống nhân trần và coi anh độ mixi live stream,,,nhưng mà tớ vẫn mừng vì tớ còn ở đây để uống nhân trần và coi anh độ mixi live stream
hehe em cảm ơn ạa,,,hehe em cảm ơn ạa
một năm như l b nhjr,như l,,một năm chán bạn nhjr
công nhận ạ năm lồ,lồ,,công nhận ạ năm chán
đi cf ở hn kể chuyện không,,hn,đi cà phê ở hà nội kể chuyện không
chào cậu,,,chào cậu
chin chào ạ,chin,,xin chào ạ
mỗi người một hoàn cảnh mỗi người một câu chuyện mà nếu mình trong hoàn cảnh của b ko biết mình đi đến đâu nữa cũng ko biết phải nói gì nma vẫn thấy b thực sự là tích cực và cực nhiều năng lượng chỉ là gặp chút ko may mắn thoi nên là cố gắng nhé mình mất thứ này thì sớm thoii sẽ có thứ khác tốt hơn đến với mình,,,mỗi người một hoàn cảnh mỗi người một câu chuyện mà nếu mình trong hoàn cảnh của bạn không biết mình đi đến đâu nữa cũng không biết phải nói gì nhưng mà vẫn thấy bạn thực sự là tích cực và cực nhiều năng lượng chỉ là gặp chút không may mắn thoi nên là cố gắng nhé mình mất thứ này thì sớm thoii sẽ có thứ khác tốt hơn đến với mình
dạaaa mình siêuuuuu cảm ơn ạ mong bạn luôn tràn đầy năng lượng gặp nhiều may mắn nhaaaaaa,,,dạaaa mình siêuuuuu cảm ơn ạ mong bạn luôn tràn đầy năng lượng gặp nhiều may mắn nhaaaaaa
mặc dù là vẫn còn nhiều vde cần giải quyếtt nma mong bạn luônn tích cực với giữ sức khoẻe để còn đi học với đi làm tối còn xem a độ,,,mặc dù là vẫn còn nhiều vấn đề cần giải quyếtt nhưng mà mong bạn luônn tích cực với giữ sức khoẻe để còn đi học với đi làm tối còn xem a độ
dạ tớ cảm ơn ạ mãi cày view cho anh độ,cày view,,dạ tớ cảm ơn ạ mãi xem video cho anh độ
xinh gái nhưng phải vật lộn ha thích coi hành trình này ghê,,,xinh gái nhưng phải vật lộn ha thích coi hành trình này ghê
là có cái mặt cũng hết xinh rồi ý ạ tác động yếu tố bên ngoài giờ mặt em như cái hố boom ra đường giờ toàn phải đeo khẩu trang bịt kín như ninja,,,là có cái mặt cũng hết xinh rồi ý ạ tác động yếu tố bên ngoài giờ mặt em như cái hố boom ra đường giờ toàn phải đeo khẩu trang bịt kín như ninja
là một cter gửi đến bạn vạn sự bình an luôn vui vẻ tích cực nhé,,,là một cter gửi đến bạn vạn sự bình an luôn vui vẻ tích cực nhé
cựu cter cảm ơn bạn ạ chúc bạn cũng luôn vui vẻ may mắn gặp nhiều điều tốt nhaa,,,cựu cter cảm ơn bạn ạ chúc bạn cũng luôn vui vẻ may mắn gặp nhiều điều tốt nhaa
tớ có thể nói chuyện và tâm sự với cậu không ạ,,,tớ có thể nói chuyện và tâm sự với cậu không ạ
chin nhỗi tớ up bài xong nngủ mất xác rồi,chin nhỗi,,xin lỗi tớ up bài xong nngủ mất xác rồi
thế bây giờ nch thì saooo,,,thế bây giờ nói chuyện thì saooo
toi hong hiểu sao mấy bro có thể bỏ cô người yêu như này được,hong,,toi không hiểu sao mấy bro có thể bỏ cô người yêu như này được
dạ chuyện này là một câu chuyện dài lắm mình mà kể mọi người quay ra chửi mình ngu liền ạ,,,dạ chuyện này là một câu chuyện dài lắm mình mà kể mọi người quay ra chửi mình ngu liền ạ
kể đi tò mò,,,kể đi tò mò
đồng cảm với cậu vì năm nay tớ cũng khủng hoảng thất nghiệp chia tay ny tiền nong chật vật nhưng sẽ ổn thui nà giờ tớ đang bắt đầu tiết kiệm từng 100k để phòng rủi ro thất nghiệp trong tương lai nè chúc may mắn đến với cậu nha,,,đồng cảm với cậu vì năm nay tớ cũng khủng hoảng thất nghiệp chia tay người yêu tiền nong chật vật nhưng sẽ ổn thui nà giờ tớ đang bắt đầu tiết kiệm từng 100 nghìn để phòng rủi ro thất nghiệp trong tương lai nè chúc may mắn đến với cậu nha
dạaa tớ cảm ơn cậu ạ chúc cậu mọi việc thành công suôn sẻ nhiều sức khỏe nhaa đặc biệt là chúc cậu siêu giàu cực kỳ giàu giàu dã man ạ,,,dạaa tớ cảm ơn cậu ạ chúc cậu mọi việc thành công suôn sẻ nhiều sức khỏe nhaa đặc biệt là chúc cậu siêu giàu cực kỳ giàu giàu dã man ạ
ôm cậu,,,ôm cậu
ok cậu và tớ cũn thế,,,ok cậu và tớ cũn thế
hông buồn nheee sắp năm mới rồi chúng mình làm lạiii,hông,,không buồn nheee sắp năm mới rồi chúng mình làm lạiii
còn thở là thành công qua chông gai rồi sẽ có quà,,,còn thở là thành công qua chông gai rồi sẽ có quà
dạaa mong quà năm sau quà là ra đường vấp 10 cục vàng em té vỡ đầu cũng được,,,dạaa mong quà năm sau quà là ra đường vấp 10 cục vàng em té vỡ đầu cũng được
thôi đừng tiền mất tật đừng mang,,,thôi đừng tiền mất tật đừng mang
đầu năm nay đầu tư thua mất 400tr cuối năm bị trộm sh xong mất thêm 100tr nữa,,,đầu năm nay đầu tư thua mất 400 triệu cuối năm bị trộm sh xong mất thêm 100 triệu nữa
ôm miếng an ủi ạ cái này mất mát nhiều quá,,,ôm miếng an ủi ạ cái này mất mát nhiều quá
nghe tệ vl nhưng cố lên,vl,vl,nghe tệ thật nhưng cố lên
dạ mình cảm ơn cố bằng cả nội tạng luôn,,,dạ mình cảm ơn cố bằng cả nội tạng luôn
năm nay của a cũng như c,như c,,năm nay của anh cũng tệ
hông ạ,hông,,không ạ
sát cuối năm cũng bị đuổi việc thiệc là vlin,vlin,vlin,sát cuối năm cũng bị đuổi việc thiệc là tệ
buồn thúi ruột mà công việc em còn rất thích cũng gắn bó nmà em không cân bằng nổi việc gia đình và đi làm nên bị đuổi cũng không oan nmà vẫn tiếc vì thật sự rất thích công việc và môi trường làm việc,thúi ruột,,buồn lắm mà công việc em còn rất thích cũng gắn bó nhưng mà em không cân bằng nổi việc gia đình và đi làm nên bị đuổi cũng không oan nhưng mà vẫn tiếc vì thật sự rất thích công việc và môi trường làm việc
bác sĩ bảo nếu không chữa chị ngay khả năng bị thúi ruột rất cao,,,bác sĩ bảo nếu không chữa chị ngay khả năng bị thúi ruột rất cao
mình cũng học theo nghề thích mà n k chọn,,,mình cũng học theo nghề thích mà nó không chọn
siêu buồn,,,siêu buồn
mình cũng có một năm như l vậy,như l,,mình cũng có một năm tệ vậy
ôm miếng nè qua năm mới mình làm lại,,,ôm miếng nè qua năm mới mình làm lại
cố lên gỡ từng khó khăn 1 nha,,,cố lên gỡ từng khó khăn 1 nha
dạaaa vâng em cảm ơn ạ em sẽ cố gắng làm từng cái một để không bị quá tải,,,dạaaa vâng em cảm ơn ạ em sẽ cố gắng làm từng cái một để không bị quá tải
nợ vụ j v bạn,,,nợ vụ gì vậy bạn
nợ của anh trai mình nmà tình huống éo le nên mình trả ạ,,,nợ của anh trai mình nhưng mà tình huống éo le nên mình trả ạ
mình thì k căng như b nhma mình cx coi a độ để chữa lành,,cx,mình thì không căng như bạn nhưng mà mình cũng coi a độ để chữa lành
sẽ ổn thôi sẽ ổn thôi,,,sẽ ổn thôi sẽ ổn thôi
ổn mò nmà tủi thân óò,ổn mò,,ổn mà nhưng mà tủi thân óò
đời mà mấy khi đc như ta muốn đâu vượt qua được nó là trưởng thành hơn rồi cố lên,,,đời mà mấy khi được như ta muốn đâu vượt qua được nó là trưởng thành hơn rồi cố lên
dạaaa mình cảm ơn có các bạn động viên mình cố bằng 1000 công lực tu luyện luôn,,,dạaaa mình cảm ơn có các bạn động viên mình cố bằng 1000 công lực tu luyện luôn
heheh không có chiii,,,heheh không có chiii
công nhận 1 năm như l thiệt hên còn đc a độ mixi stream chứ k k biết làm sao luôn,như l,,công nhận 1 năm tệ thiệt hên còn được anh độ mixi stream chứ không không biết làm sao luôn
cố lên chọn vượt qua từng cái một đặt mục tiêu ngắn hạn thôi bạn chúc bạn vững vàng trong chặng đường tiếp theo nhé,,,cố lên chọn vượt qua từng cái một đặt mục tiêu ngắn hạn thôi bạn chúc bạn vững vàng trong chặng đường tiếp theo nhé
dạaa mình cảm ơn ạ chúc bạn luôn mạnh khỏe vui vẻ cười khà khà cả đời nhaaa,,,dạaa mình cảm ơn ạ chúc bạn luôn mạnh khỏe vui vẻ cười khà khà cả đời nhaaa
ôm ôm nè hi vọng năm sau em sẽ khá hơn,,,ôm ôm nè hi vọng năm sau em sẽ khá hơn
dạ em cảm ơn ạaaa ôm siêu chặt luôn,,,dạ em cảm ơn ạaaa ôm siêu chặt luôn
là tui nè ông tui nè,,,là tui nè ông tui nè
